R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Referee,date,location,Fight_type,Winner,R_SIG_STR_Landed,R_SIG_STR_Attempted,B_SIG_STR_Landed,B_SIG_STR_Attempted,R_Strike_Efficiency,B_Strike_Efficiency,R_Control_Time,B_Control_Time,Control_Time_Difference
Matt Serra,Chris Lytle,0,0,0.51,0.72,91 of 114,195 of 214,1 of 16,1 of 2,0.06,0.5,0,0,0,0,8:13,1:24,7 of 21,7 of 22,7 of 11,30 of 31,6 of 7,5 of 5,3 of 15,3 of 12,15 of 21,34 of 38,2 of 3,5 of 8,Decision - Split,3,5:00,Herb Dean,2006-11-11,"Las Vegas, Nevada, USA",Ultimate Fighter 4 Welterweight Tournament Title Bout,Matt Serra,20.0,39.0,42.0,58.0,0.5,0.711864406779661,493,84,409
Jared Hamman,Michael Kuiper,0,2,0.4,0.58,64 of 153,65 of 106,0 of 3,1 of 2,0.0,0.5,0,0,0,0,0:06,1:15,49 of 134,43 of 81,8 of 11,3 of 4,4 of 4,10 of 10,60 of 145,47 of 80,1 of 4,9 of 14,0 of 0,0 of 1,KO/TKO,2,2:16,Adam Martinez,2012-08-11,"Denver, Colorado, USA",Middleweight Bout,Michael Kuiper,61.0,149.0,56.0,95.0,0.4066666666666667,0.5833333333333334,6,75,-69
Anthony Pettis,Rafael Dos Anjos,0,0,0.33,0.52,96 of 205,144 of 233,0 of 1,9 of 10,0.0,0.9,0,0,0,0,0:52,14:42,38 of 141,44 of 113,11 of 16,27 of 37,5 of 5,19 of 21,53 of 158,58 of 124,1 of 3,11 of 17,0 of 1,21 of 30,Decision - Unanimous,5,5:00,Dan Miragliotta,2015-03-14,"Dallas, Texas, USA",UFC Lightweight Title Bout,Rafael Dos Anjos,54.0,162.0,90.0,171.0,0.3312883435582822,0.5232558139534884,52,882,-830
Demetrious Johnson,Ian McCall,1,0,0.58,0.43,105 of 169,94 of 172,2 of 8,1 of 11,0.25,0.09,0,0,0,0,2:03,3:05,23 of 70,16 of 77,41 of 52,27 of 36,26 of 31,14 of 19,45 of 99,26 of 87,45 of 54,31 of 44,0 of 0,0 of 1,Decision - Unanimous,3,5:00,Troy Waugh,2012-06-08,"Sunrise, Florida, USA",Flyweight Bout,Demetrious Johnson,90.0,153.0,57.0,132.0,0.5844155844155844,0.4285714285714285,123,185,-62
Frankie Edgar,Jeremy Stephens,0,1,0.52,0.22,45 of 81,41 of 154,5 of 14,0 of 0,0.35,,2,1,1,0,4:49,0:03,29 of 62,23 of 133,7 of 9,4 of 5,4 of 5,6 of 8,33 of 65,25 of 136,3 of 4,7 of 9,4 of 7,1 of 1,Decision - Unanimous,3,5:00,Keith Peterson,2016-11-12,"New York City, New York, USA",Featherweight Bout,Frankie Edgar,40.0,76.0,33.0,146.0,0.5194805194805194,0.2244897959183673,289,3,286
Matt Brown,Jake Ellenberger,0,2,0.41,0.61,7 of 17,29 of 43,0 of 1,0 of 0,0.0,,0,0,0,0,0:00,0:41,5 of 15,18 of 31,2 of 2,2 of 2,0 of 0,1 of 1,5 of 15,7 of 15,2 of 2,0 of 0,0 of 0,14 of 19,KO/TKO,1,1:46,Marc Goddard,2016-07-30,"Atlanta, Georgia, USA",Welterweight Bout,Jake Ellenberger,7.0,17.0,21.0,34.0,0.3888888888888889,0.6,0,41,-41
Matt Hamill,Mark Munoz,1,0,0.48,0.37,40 of 64,14 of 37,0 of 0,0 of 4,,0.0,0,0,0,0,0:19,0:01,18 of 42,11 of 32,0 of 0,3 of 5,5 of 5,0 of 0,20 of 42,10 of 31,2 of 4,4 of 6,1 of 1,0 of 0,KO/TKO,1,3:53,Dan Miragliotta,2009-03-07,"Columbus, Ohio, USA",Light Heavyweight Bout,Matt Hamill,23.0,47.0,14.0,37.0,0.4791666666666667,0.3684210526315789,19,1,18
Matt Mitrione,Joey Beltran,0,0,0.5,0.33,86 of 165,93 of 207,0 of 0,1 of 3,,0.33,0,0,0,0,0:00,5:01,61 of 135,35 of 137,7 of 8,13 of 16,8 of 9,4 of 4,73 of 144,29 of 128,3 of 8,14 of 18,0 of 0,9 of 11,Decision - Unanimous,3,5:00,Herb Dean,2010-09-25,"Indianapolis, Indiana, USA",Heavyweight Bout,Matt Mitrione,76.0,152.0,52.0,157.0,0.4967320261437908,0.3291139240506329,0,301,-301
James Wilks,Claude Patrick,0,0,0.42,0.57,46 of 66,63 of 85,0 of 1,3 of 5,0.0,0.6,0,0,0,0,0:46,12:29,3 of 14,17 of 32,4 of 7,3 of 5,5 of 7,3 of 3,3 of 12,3 of 7,9 of 16,3 of 3,0 of 0,17 of 30,Decision - Unanimous,3,5:00,Dan Miragliotta,2010-10-16,"London, England, United Kingdom",Welterweight Bout,Claude Patrick,12.0,28.0,23.0,40.0,0.4137931034482758,0.5609756097560976,46,749,-703
Matt Lindland,Travis Lutter,0,0,0.44,0.0,59 of 77,26 of 31,2 of 4,1 of 1,0.5,1.0,1,0,0,1,5:28,1:53,6 of 17,0 of 4,1 of 2,0 of 0,4 of 6,0 of 0,0 of 4,0 of 4,10 of 16,0 of 0,1 of 5,0 of 0,Submission,2,3:13,Steve Mazzagatti,2005-04-16,"Las Vegas, Nevada, USA",Middleweight Bout,Matt Lindland,11.0,25.0,0.0,4.0,0.4230769230769231,0.0,328,113,215
